Curveplot
AI*Environment LS-Dyna Project
Time
Nodal Data
Node no.
X-displacement-1 #pts=88
* Minval=    -2.7154251002e-03 at time=         0.0197900161
* Maxval=     7.0069596404e-04 at time=         1.0049194098
    0.0000000000e+00    0.0000000000e+00
    1.7773577943e-02    0.0000000000e+00
    3.5547155887e-02    0.0000000000e+00
    5.3301535547e-02    0.0000000000e+00
    7.1047678590e-02    0.0000000000e+00
    8.8796772063e-02    0.0000000000e+00
    1.0653082281e-01    0.0000000000e+00
    1.2425009906e-01    0.0000000000e+00
    1.4197291434e-01    0.0000000000e+00
    1.5968862176e-01    0.0000000000e+00
    1.7738603055e-01    0.0000000000e+00
    1.9508203864e-01    0.0000000000e+00
    2.1277639270e-01    0.0000000000e+00
    2.3045240343e-01    0.0000000000e+00
    2.4812102318e-01    0.0000000000e+00
    2.6579231024e-01    0.0000000000e+00
    2.8344982862e-01    0.0000000000e+00
    3.0109423399e-01    0.0000000000e+00
    3.1874090433e-01    0.0000000000e+00
    3.3637887239e-01    0.0000000000e+00
    3.5399997234e-01    0.0000000000e+00
    3.7162029743e-01    0.0000000000e+00
    3.8923794031e-01    0.0000000000e+00
    4.0683877468e-01    0.0000000000e+00
    4.2443409562e-01    0.0000000000e+00
    4.4203001261e-01    0.0000000000e+00
    4.5961123705e-01    0.0000000000e+00
    4.7718167305e-01    0.0000000000e+00
    4.9475377798e-01    0.0000000000e+00
    5.1231580973e-01    0.0000000000e+00
    5.2986377478e-01    0.0000000000e+00
    5.4741191864e-01    0.0000000000e+00
    5.6495451927e-01    0.0000000000e+00
    5.8248120546e-01    0.0000000000e+00
    6.0000461340e-01    0.0000000000e+00
    6.1752617359e-01    0.0000000000e+00
    6.3503295183e-01    0.0000000000e+00
    6.5253257751e-01    0.0000000000e+00
    6.7003262043e-01    0.0000000000e+00
    6.8752032518e-01    0.0000000000e+00
    7.0499700308e-01    0.0000000000e+00
    7.2247415781e-01    0.0000000000e+00
    7.3994243145e-01    0.0000000000e+00
    7.5739735365e-01    0.0000000000e+00
    7.7485144138e-01    0.0000000000e+00
    7.9230022430e-01    0.0000000000e+00
    8.0973482132e-01    0.0000000000e+00
    8.2716578245e-01    0.0000000000e+00
    8.4459418058e-01    0.0000000000e+00
    8.6200892925e-01    0.0000000000e+00
    8.7941706181e-01    0.0000000000e+00
    8.9682447910e-01    0.0000000000e+00
    9.1422015429e-01    0.0000000000e+00
    9.3160641193e-01    0.0000000000e+00
    9.4899231195e-01    0.0000000000e+00
    9.6636891365e-01    0.0000000000e+00
    9.8373395205e-01    0.0000000000e+00
endcurve
X-displacement-2 #pts=88
* Minval=    -3.5605035722e-02 at time=         0.0197900161
* Maxval=     8.9510995150e-01 at time=        -0.0000148562
    0.0000000000e+00    0.0000000000e+00
    1.7773577943e-02    0.0000000000e+00
    3.5547155887e-02   -7.1981921792e-06
    5.3301535547e-02   -9.7025185823e-06
    7.1047678590e-02   -7.4431300163e-06
    8.8796772063e-02   -1.2968666852e-05
    1.0653082281e-01   -1.9867904484e-05
    1.2425009906e-01   -2.0152889192e-05
    1.4197291434e-01   -2.4304725230e-05
    1.5968862176e-01   -3.2532960176e-05
    1.7738603055e-01   -3.3583492041e-05
    1.9508203864e-01   -3.4263357520e-05
    2.1277639270e-01   -4.2124651372e-05
    2.3045240343e-01   -4.6666711569e-05
    2.4812102318e-01   -4.7408044338e-05
    2.6579231024e-01   -5.4421834648e-05
    2.8344982862e-01   -6.0974620283e-05
    3.0109423399e-01   -6.0900114477e-05
    3.1874090433e-01   -6.4751133323e-05
    3.3637887239e-01   -7.2415918112e-05
    3.5399997234e-01   -7.4314884841e-05
    3.7162029743e-01   -7.6990574598e-05
    3.8923794031e-01   -8.5240229964e-05
    4.0683877468e-01   -8.8924542069e-05
    4.2443409562e-01   -8.9541077614e-05
    4.4203001261e-01   -9.6009112895e-05
    4.5961123705e-01   -1.0143034160e-04
    4.7718167305e-01   -1.0217539966e-04
    4.9475377798e-01   -1.0759849101e-04
    5.1231580973e-01   -1.1482462287e-04
    5.2986377478e-01   -1.1619180441e-04
    5.4741191864e-01   -1.1928658932e-04
    5.6495451927e-01   -1.2643821537e-04
    5.8248120546e-01   -1.2894440442e-04
    6.0000461340e-01   -1.3084523380e-04
    6.1752617359e-01   -1.3808533549e-04
    6.3503295183e-01   -1.4255475253e-04
    6.5253257751e-01   -1.4372821897e-04
    6.7003262043e-01   -1.4956854284e-04
    6.8752032518e-01   -1.5499256551e-04
    7.0499700308e-01   -1.5593878925e-04
    7.2247415781e-01   -1.6048271209e-04
    7.3994243145e-01   -1.6713701189e-04
    7.5739735365e-01   -1.6905553639e-04
    7.7485144138e-01   -1.7232354730e-04
    7.9230022430e-01   -1.7906725407e-04
    8.0973482132e-01   -1.8171593547e-04
    8.2716578245e-01   -1.8368661404e-04
    8.4459418058e-01   -1.9010622054e-04
    8.6200892925e-01   -1.9413791597e-04
    8.7941706181e-01   -1.9577611238e-04
    8.9682447910e-01   -2.0157080144e-04
    9.1422015429e-01   -2.0658224821e-04
    9.3160641193e-01   -2.0790938288e-04
    9.4899231195e-01   -2.1248962730e-04
    9.6636891365e-01   -2.1817814559e-04
    9.8373395205e-01   -2.1994765848e-04
endcurve
X-displacement-3 #pts=88
* Minval=    -2.8629958630e-01 at time=         0.0197900161
* Maxval=     0.0000000000e+00 at time=         0.0000000000
    0.0000000000e+00    0.0000000000e+00
    1.7773577943e-02    0.0000000000e+00
    3.5547155887e-02   -7.1981921792e-06
    5.3301535547e-02   -1.2756325305e-05
    7.1047678590e-02   -1.6015022993e-05
    8.8796772063e-02   -2.4167820811e-05
    1.0653082281e-01   -3.0327588320e-05
    1.2425009906e-01   -2.9628165066e-05
    1.4197291434e-01   -3.2348558307e-05
    1.5968862176e-01   -3.9450824261e-05
    1.7738603055e-01   -4.2651779950e-05
    1.9508203864e-01   -4.6757981181e-05
    2.1277639270e-01   -5.5395066738e-05
    2.3045240343e-01   -5.9238635004e-05
    2.4812102318e-01   -5.9208832681e-05
    2.6579231024e-01   -6.4339488745e-05
    2.8344982862e-01   -6.9863162935e-05
    3.0109423399e-01   -7.1709975600e-05
    3.1874090433e-01   -7.7569857240e-05
    3.3637887239e-01   -8.5408799350e-05
    3.5399997234e-01   -8.7269581854e-05
    3.7162029743e-01   -8.9250504971e-05
    3.8923794031e-01   -9.5507130027e-05
    4.0683877468e-01   -9.8675489426e-05
    4.2443409562e-01   -1.0083150119e-04
    4.4203001261e-01   -1.0820385069e-04
    4.5961123705e-01   -1.1390820146e-04
    4.7718167305e-01   -1.1515058577e-04
    4.9475377798e-01   -1.1967867613e-04
    5.1231580973e-01   -1.2519396842e-04
    5.2986377478e-01   -1.2655928731e-04
    5.4741191864e-01   -1.3049319386e-04
    5.6495451927e-01   -1.3789255172e-04
    5.8248120546e-01   -1.4111772180e-04
    6.0000461340e-01   -1.4359690249e-04
    6.1752617359e-01   -1.4975760132e-04
    6.3503295183e-01   -1.5316344798e-04
    6.5253257751e-01   -1.5451293439e-04
    6.7003262043e-01   -1.6038585454e-04
    6.8752032518e-01   -1.6594957560e-04
    7.0499700308e-01   -1.6793329269e-04
    7.2247415781e-01   -1.7272680998e-04
    7.3994243145e-01   -1.7846189439e-04
    7.5739735365e-01   -1.8003303558e-04
    7.7485144138e-01   -1.8321350217e-04
    7.9230022430e-01   -1.8947198987e-04
    8.0973482132e-01   -1.9251368940e-04
    8.2716578245e-01   -1.9539427012e-04
    8.4459418058e-01   -2.0168442279e-04
    8.6200892925e-01   -2.0534824580e-04
    8.7941706181e-01   -2.0702462643e-04
    8.9682447910e-01   -2.1227728575e-04
    9.1422015429e-01   -2.1682027727e-04
    9.3160641193e-01   -2.1871645004e-04
    9.4899231195e-01   -2.2368133068e-04
    9.6636891365e-01   -2.2920407355e-04
    9.8373395205e-01   -2.3120176047e-04
endcurve
X-displacement-4 #pts=88
* Minval=     0.0000000000e+00 at time=         0.0000000000
* Maxval=     1.0399999883e-04 at time=         0.9504776001
    0.0000000000e+00    0.0000000000e+00
    1.7773577943e-02    0.0000000000e+00
    3.5547155887e-02    7.1983013186e-06
    5.3301535547e-02    8.4057719505e-06
    7.1047678590e-02    4.0825834731e-06
    8.8796772063e-02    7.3281808000e-06
    1.0653082281e-01    1.0889337318e-05
    1.2425009906e-01    7.3277460615e-06
    1.4197291434e-01    8.4529801825e-06
    1.5968862176e-01    1.3709681298e-05
    1.7738603055e-01    1.1043488485e-05
    1.9508203864e-01    8.0998552221e-06
    2.1277639270e-01    1.2250233340e-05
    2.3045240343e-01    1.2192068425e-05
    2.4812102318e-01    8.4699231593e-06
    2.6579231024e-01    1.1832408745e-05
    2.8344982862e-01    1.4465738786e-05
    3.0109423399e-01    1.0182758160e-05
    3.1874090433e-01    1.0251817002e-05
    3.3637887239e-01    1.3758951354e-05
    3.5399997234e-01    1.0834788554e-05
    3.7162029743e-01    9.2234313342e-06
    3.8923794031e-01    1.3602932086e-05
    4.0683877468e-01    1.2984853129e-05
    4.2443409562e-01    9.5047716968e-06
    4.4203001261e-01    1.2227579646e-05
    4.5961123705e-01    1.3246246453e-05
    4.7718167305e-01    9.3532980827e-06
    4.9475377798e-01    1.0753646166e-05
    5.1231580973e-01    1.3865563233e-05
    5.2986377478e-01    1.0865123841e-05
    5.4741191864e-01    1.0135539924e-05
    5.6495451927e-01    1.3443559510e-05
    5.8248120546e-01    1.1461414942e-05
    6.0000461340e-01    9.1024694484e-06
    6.1752617359e-01    1.2406052520e-05
    6.3503295183e-01    1.2535926544e-05
    6.5253257751e-01    9.5386776593e-06
    6.7003262043e-01    1.1720478142e-05
    6.8752032518e-01    1.3083548765e-05
    7.0499700308e-01    9.6964349723e-06
    7.2247415781e-01    1.0333429600e-05
    7.3994243145e-01    1.2920314475e-05
    7.5739735365e-01    1.0468792425e-05
    7.7485144138e-01    9.8747459560e-06
    7.9230022430e-01    1.2879597307e-05
    8.0973482132e-01    1.1332143913e-05
    8.2716578245e-01    9.3166190709e-06
    8.4459418058e-01    1.1951729903e-05
    8.6200892925e-01    1.1742494280e-05
    8.7941706181e-01    9.2442678579e-06
    8.9682447910e-01    1.1350486602e-05
    9.1422015429e-01    1.2389449694e-05
    9.3160641193e-01    9.6390340332e-06
    9.4899231195e-01    1.0539902178e-05
    9.6636891365e-01    1.2314919331e-05
    9.8373395205e-01    9.8772597994e-06
endcurve
Y-displacement-1 #pts=88
* Minval=    -2.8309207410e-03 at time=         0.0197900161
* Maxval=     9.0640671551e-03 at time=        -0.0000148562
    0.0000000000e+00    0.0000000000e+00
    1.7773577943e-02    0.0000000000e+00
    3.5547155887e-02    0.0000000000e+00
    5.3301535547e-02    0.0000000000e+00
    7.1047678590e-02    0.0000000000e+00
    8.8796772063e-02    0.0000000000e+00
    1.0653082281e-01    0.0000000000e+00
    1.2425009906e-01    0.0000000000e+00
    1.4197291434e-01    0.0000000000e+00
    1.5968862176e-01    0.0000000000e+00
    1.7738603055e-01    0.0000000000e+00
    1.9508203864e-01    0.0000000000e+00
    2.1277639270e-01    0.0000000000e+00
    2.3045240343e-01    0.0000000000e+00
    2.4812102318e-01    0.0000000000e+00
    2.6579231024e-01    0.0000000000e+00
    2.8344982862e-01    0.0000000000e+00
    3.0109423399e-01    0.0000000000e+00
    3.1874090433e-01    0.0000000000e+00
