Curveplot
AI*Environment LS-Dyna Project
Time
Nodal Data
Node no.
X-displacement-1 #pts=64
* Minval=     0.0000000000e+00 at time=         0.0000000000
* Maxval=     0.0000000000e+00 at time=         0.0000000000
    0.0000000000e+00    0.0000000000e+00
    1.5781797469e-02    0.0000000000e+00
    3.2538883388e-02    0.0000000000e+00
    4.9282990396e-02    0.0000000000e+00
    6.6014528275e-02    0.0000000000e+00
    8.2745879889e-02    0.0000000000e+00
    9.9476099014e-02    0.0000000000e+00
    1.1619264632e-01    0.0000000000e+00
    1.3289764524e-01    0.0000000000e+00
    1.4960360527e-01    0.0000000000e+00
    1.6630676389e-01    0.0000000000e+00
    1.8202060461e-01    0.0000000000e+00
    1.9870023429e-01    0.0000000000e+00
    2.1538063884e-01    0.0000000000e+00
    2.3205675185e-01    0.0000000000e+00
    2.4774552882e-01    0.0000000000e+00
    2.6439946890e-01    0.0000000000e+00
    2.8105431795e-01    0.0000000000e+00
    2.9770296812e-01    0.0000000000e+00
    3.1336671114e-01    0.0000000000e+00
    3.2999491692e-01    0.0000000000e+00
    3.4662437439e-01    0.0000000000e+00
    3.6324557662e-01    0.0000000000e+00
    3.7888443470e-01    0.0000000000e+00
    3.9548754692e-01    0.0000000000e+00
    4.1209137440e-01    0.0000000000e+00
    4.2868581414e-01    0.0000000000e+00
    4.4430088997e-01    0.0000000000e+00
    4.6087867022e-01    0.0000000000e+00
    4.7745686769e-01    0.0000000000e+00
    4.9402415752e-01    0.0000000000e+00
    5.1057851315e-01    0.0000000000e+00
    5.2713161707e-01    0.0000000000e+00
    5.4368370771e-01    0.0000000000e+00
    5.6022286415e-01    0.0000000000e+00
    5.7675105333e-01    0.0000000000e+00
    5.9327977896e-01    0.0000000000e+00
    6.0980576277e-01    0.0000000000e+00
    6.2535381317e-01    0.0000000000e+00
    6.4185720682e-01    0.0000000000e+00
    6.5836137533e-01    0.0000000000e+00
    6.7486065626e-01    0.0000000000e+00
    6.9038379192e-01    0.0000000000e+00
    7.0686286688e-01    0.0000000000e+00
    7.2334283590e-01    0.0000000000e+00
    7.3981547356e-01    0.0000000000e+00
    7.5531458855e-01    0.0000000000e+00
    7.7176970243e-01    0.0000000000e+00
    7.8822547197e-01    0.0000000000e+00
    8.0467218161e-01    0.0000000000e+00
    8.2014882565e-01    0.0000000000e+00
    8.3657985926e-01    0.0000000000e+00
    8.5301119089e-01    0.0000000000e+00
    8.6943173409e-01    0.0000000000e+00
    8.8584035635e-01    0.0000000000e+00
    9.0224832296e-01    0.0000000000e+00
    9.1865444183e-01    0.0000000000e+00
    9.3409317732e-01    0.0000000000e+00
    9.5047760010e-01    0.0000000000e+00
    9.6686220169e-01    0.0000000000e+00
    9.8324346542e-01    0.0000000000e+00
    9.9865663052e-01    0.0000000000e+00
endcurve
X-displacement-2 #pts=64
* Minval=    -2.0748004317e-04 at time=         0.9986566305
* Maxval=     0.0000000000e+00 at time=         0.0000000000
    0.0000000000e+00    0.0000000000e+00
